"filename", "language", "JSON with Comments", "JSON", "TypeScript", "JavaScript", "Markdown", "XML", "JavaScript React", "SCSS", "TypeScript React", "PostCSS", "comment", "blank", "total"
"e:\marketplace\components\widgets\StarRating\StarRating.js", "JavaScript", 0, 0, 0, 76, 0, 0, 0, 0, 0, 0, 0, 11, 87
"e:\marketplace\components\widgets\StarRating\components\Star.js", "JavaScript", 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 5, 41
"e:\marketplace\components\widgets\StarRating\components\StarRatingLabel.js", "JavaScript", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 5, 14
"e:\marketplace\components\widgets\StarRating\components\StarsList.js", "JavaScript", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 7, 22
"e:\marketplace\constants.js", "JavaScript", 0, 0, 0, 120, 0, 0, 0, 0, 0, 0, 0, 1, 121
"e:\marketplace\context\AuthContext.js", "JavaScript", 0, 0, 0, 99, 0, 0, 0, 0, 0, 0, 5, 16, 120
"e:\marketplace\context\UploadContext.js", "JavaScript", 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 7, 51
"e:\marketplace\firebase.js", "JavaScript", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 5, 24
"e:\marketplace\firebase.json", "JSON", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"e:\marketplace\functions\.eslintrc.js", "JavaScript", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 1, 15
"e:\marketplace\functions\index.js", "JavaScript", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 4, 3, 15
"e:\marketplace\functions\package-lock.json", "JSON", 0, 5863, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5864
"e:\marketplace\functions\package.json", "JSON", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 27
"e:\marketplace\lib\mongodb.ts", "TypeScript", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 5, 6, 30
"e:\marketplace\next.config.js", "JavaScript", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 1, 1, 13
"e:\marketplace\package-lock.json", "JSON", 0, 15729, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15730
"e:\marketplace\package.json", "JSON", 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 45
"e:\marketplace\pages\_app.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 1, 18
"e:\marketplace\pages\api\addURL\[productId].js", "JavaScript", 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 5, 21
"e:\marketplace\pages\api\getProducts\[productId].js", "JavaScript", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 6, 21
"e:\marketplace\pages\api\getProducts\index.js", "JavaScript", 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 4, 46
"e:\marketplace\pages\api\hello.ts", "TypeScript", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 1, 3, 13
"e:\marketplace\pages\api\movies.js", "JavaScript", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 4, 15
"e:\marketplace\pages\api\uploadProduct.js", "JavaScript", 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 5, 29
"e:\marketplace\pages\index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, 0, 35, 0, 5, 4, 44
"e:\marketplace\pages\login\index.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 191, 0, 0, 0, 0, 11, 202
"e:\marketplace\pages\login\utils\createUsername.js", "JavaScript", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 2, 14
"e:\marketplace\pages\product\[productId].jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 151, 0, 0, 0, 3, 9, 163
